LV:1   EXP:1000
LV:2   EXP:1325
LV:3   EXP:1700
LV:4   EXP:2150
LV:5   EXP:2625
LV:6   EXP:3150
LV:7   EXP:3725
LV:8   EXP:4350
LV:9   EXP:5000
LV:10  EXP:5700
LV:11  EXP:6450
LV:12  EXP:7225
LV:13  EXP:8050
LV:14  EXP:8925
LV:15  EXP:9825
LV:16  EXP:10750
LV:17  EXP:11725
LV:18  EXP:12725
LV:19  EXP:13775
LV:20  EXP:14875
LV:21  EXP:16800
LV:22  EXP:18000
LV:23  EXP:19250
LV:24  EXP:20550
LV:25  EXP:21875
LV:26  EXP:23250
LV:27  EXP:24650
LV:28  EXP:26100
LV:29  EXP:27575
LV:30  EXP:29100
LV:31  EXP:30650
LV:32  EXP:32250
LV:33  EXP:33875
LV:34  EXP:35550
LV:35  EXP:37250
LV:36  EXP:38975
LV:37  EXP:40750
LV:38  EXP:42575
LV:39  EXP:44425
LV:40  EXP:46300
LV:41  EXP:50625
LV:42  EXP:52700
LV:43  EXP:54775
LV:44  EXP:56900
LV:45  EXP:59075
LV:46  EXP:61275
LV:47  EXP:63525
LV:48  EXP:65800
LV:49  EXP:68125
LV:50  EXP:70475
LV:51  EXP:76500
LV:52  EXP:79050
LV:53  EXP:81650
LV:54  EXP:84275
LV:55  EXP:86950
LV:56  EXP:89650
LV:57  EXP:92400
LV:58  EXP:95175
LV:59  EXP:98000
LV:60  EXP:100875
LV:61  EXP:108950
LV:62  EXP:112050
LV:63  EXP:115175
LV:64  EXP:118325
LV:65  EXP:121525
LV:66  EXP:124775
LV:67  EXP:128075
LV:68  EXP:131400
LV:69  EXP:134775
LV:70  EXP:138175
LV:71  EXP:148700
LV:72  EXP:152375
LV:73  EXP:156075
LV:74  EXP:159825
LV:75  EXP:163600
LV:76  EXP:167425
LV:77  EXP:171300
LV:78  EXP:175225
LV:79  EXP:179175
LV:80  EXP:183175
LV:81  EXP:216225
LV:82  EXP:243025
LV:83  EXP:273100
LV:84  EXP:306800
LV:85  EXP:344600
LV:86  EXP:386950
LV:87  EXP:434425
LV:88  EXP:487625
LV:89  EXP:547200
LV:90  EXP:999999999
